iter,error_autovalor
0,26.235474545274492
1,26.308442892272378
2,25.890584924825266
3,25.191029063748797
4,24.318056949868982
5,23.35187536120463
6,22.341658624220592
7,21.31336551646314
8,20.280067410940347
9,19.248981740926848
10,18.225109455714957
11,17.212789404192282
12,16.21621712724435
13,15.239518402426759
14,14.286663316657762
15,13.361345577473354
16,12.466875570630645
17,11.606102314214441
18,10.781365955650319
19,9.994477566301379
20,9.24672158609062
21,8.538876168971832
22,7.871247013451066
23,7.243710723424636
24,6.655764239881071
25,6.106577389032454
26,5.595046097347522
27,5.11984431761449
28,4.679473178702112
29,4.272306301174716
30,3.8966306000413446
31,3.550682217541869
32,3.232677490377732
33,2.9408390585999804
34,2.6734173719830565
35,2.428707950677232
36,2.2050648178117633
37,2.0009105503005635
38,1.8147433977910161
39,1.6451419051531602
40,1.490767446829743
41,1.3503650464412331
42,1.2227628159581982
43,1.1068703083147398
44,1.001676037567588
45,0.906244382988806
46,0.8197120586896638
47,0.7412842989874555
48,0.6702308819323903
49,0.6058820891859753
50,0.5476246796240041
51,0.49489793637622626
52,0.447189832212203
53,0.4040333459215226
54,0.36500295229818036
55,0.3297113002202714
56,0.2978060868352159
57,0.2689671307612578
58,0.24290364327258018
59,0.2193516934465407
60,0.19807186104694452
61,0.17884706934840366
62,0.16148058904944307
63,0.1457942037706914
64,0.13162652730284563
65,0.11883146268376166
66,0.10727679328745054
67,0.09684289635032073
68,0.08742156970431125
69,0.07891496290044486
70,0.07123460436597995
71,0.06430051672446879
72,0.0580404129046741
73,0.05238896616208777
74,0.04728714762469011
75,0.04268162544862264
76,0.03852422012403167
77,0.03477141090326796
78,0.03138388873228948
79,0.0283261514495301
80,0.025566137374507747
81,0.02307489374212679
82,0.020826276747271777
83,0.018796680250190434
84,0.016964790456199808
85,0.015311364125228266
86,0.013819028089042007
87,0.012472098057056513
88,0.011256414878026533
89,0.010159196594575093
90,0.009168904782423937
91,0.00827512380767459
92,0.007468451763386952
93,0.006740401964361098
94,0.0060833139843126105
95,0.0054902733166777296
96,0.004955038827599623
97,0.004471977248840631
98,0.004036004030357532
99,0.0036425299377533804
100,0.0032874128382829326
