test,tipo,error_n1_rel,error_ninf_rel,error_n1_abs,error_ninf_abs,min_aval,max_aval
80,S,1.034600813909492e-06,3.0964292818680406e-07,1.1873635230585933e-07,2.0489096641540527e-08,46754.82846584598,21177414.281083383
81,D,0.0,0.0,0.0,0.0,-944.0,987.0
81,H,1.1282649814425838e-10,2.7798985335891757e-11,2.114308728096148e-12,5.684341886080801e-13,-996.0000000000001,901.0
81,S,3.6477636534471e-05,4.522913059190614e-06,1.5921114027150907e-07,4.842877388000488e-08,2533.1421557474364,23815629.62792882
82,D,0.0,0.0,0.0,0.0,-740.0,943.0
82,H,7.551305414299492e-11,2.6505242445296062e-11,1.9806378759312793e-12,3.410605131648481e-13,-852.0000000000001,987.0000000000003
82,S,6.653071949358491e-06,1.0562607712927274e-06,1.2223608791828156e-07,2.2351741790771484e-08,11217.36637071053,23676774.251750343
83,D,0.0,0.0,0.0,0.0,-758.0,995.0
83,H,3.2948560546586236e-11,1.578659425405249e-11,1.6755485887642863e-12,3.410605131648481e-13,-999.9999999999999,829.0000000000003
83,S,0.0003207033218983746,3.6934598583115985e-05,1.6878544784049154e-07,2.8870999813079834e-08,359.6108036421484,24289697.032297622
84,D,0.0,0.0,0.0,0.0,-718.0,893.0
84,H,3.483213717458966e-11,1.8904100507199928e-11,2.4016344468691386e-12,4.547473508864641e-13,-987.9999999999999,661.0000000000005
84,S,5.2674466278546106e-05,5.8186209344057715e-06,2.7106216293759644e-07,8.568167686462402e-08,2155.6621489012564,22587882.039701894
85,D,0.0,0.0,0.0,0.0,-1000.0,969.0
85,H,1.7320811451781992e-11,1.0502043679139206e-11,1.8474111129762605e-12,3.410605131648481e-13,-852.0000000000003,862.9999999999999
